post_id,text_content,author,platform,created_at,gt_tier,gt_tier_label,gt_antisemitism_score,gt_sentiment,gt_ihra_labels,gt_keywords,gt_country_of_origin
post-0001,Why do the globalists always push for open borders? Who benefits from this chaos? Just asking. 👀,user_36fd64,telegram,2025-11-05T11:59:00Z,1,subtle,0.2856,Hostile,,globalists,
post-0002,The new AI tools coming out this year are genuinely impressive. Exciting and slightly terrifying. 🤔,user_9fc25e,telegram,2025-01-24T07:50:00Z,0,clean,0.1907,Neutral,,,
post-0003,Israel could not exist for a single day without Jewish financial networks propping it up globally. 🤔,user_bf9834,telegram,2025-03-30T13:15:00Z,2,coded,0.6395,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,Zionist; bank control,Israel
post-0004,"Just landed in Tel Aviv for the first time. The food, the energy, the people — absolutely love it here. 📢",user_d25a31,telegram,2025-06-04T04:27:00Z,0,clean,0.1979,Supportive,,,Israel
post-0005,"The same people who lecture the world on the Holocaust are now running an open-air prison. Ironic, isn't it? 📢",user_391908,telegram,2025-06-07T21:50:00Z,2,coded,0.5224,Negative,Drawing comparisons of contemporary Israeli policy to that of the Nazis; Holding Jews collectively responsible for actions of the State of Israel,Holocaust,Israel
post-0006,The world would be a better place without Israel and the people who created and defend it.!!,user_7491b4,telegram,2025-07-13T02:57:00Z,4,hostile,0.9535,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",Zionist,Israel
post-0007,"COVID vaccines were designed by people connected to the Davos crowd — same names, same agenda, same profits. 🔥",user_2a0409,telegram,2025-04-25T04:14:00Z,2,coded,0.6633,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,globalists,
post-0008,Another 'coincidence' — the politicians who voted for the bailout all received campaign donations from the same banks.,user_66a574,telegram,2025-06-02T17:45:00Z,1,subtle,0.2695,Neutral,,bank control,
post-0009,Holocaust denial is not an opinion. It is a lie and an act of hate. Full stop. — wake up!,user_e47e50,telegram,2025-01-15T03:59:00Z,0,clean,0.1393,Negative,,Holocaust; antisemitism,
post-0010,Anti-Zionism is not antisemitism. But holding every Jew responsible for Israel IS a form of anti-Zionism. And it's justified. 🤔,user_2de881,telegram,2025-09-25T03:25:00Z,2,coded,0.5374,Hostile,Holding Jews collectively responsible for actions of the State of Israel,Zionist; antisemitism,
post-0011,The Jewish Museum in Berlin is one of the most powerful museums I've ever visited. A must-see.,user_c9b638,telegram,2025-09-19T07:56:00Z,0,clean,0.1867,Supportive,,,Germany
post-0012,"Stabbing a rabbi in the street is a political act, not a hate crime. Know the difference.",user_af5d59,telegram,2025-06-12T16:33:00Z,4,hostile,0.947,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",Jewish conspiracy,
post-0013,Celebrated Purim with my neighbors today. The costumes were amazing and the hamantaschen were delicious!,user_ec9daa,telegram,2025-05-05T12:50:00Z,0,clean,0.1638,Supportive,,,
post-0014,The new season of this show is absolutely incredible. Cannot stop watching.,user_0926b7,telegram,2025-04-19T12:48:00Z,0,clean,0.0648,Supportive,,,
post-0015,October 7th was a response to 75 years of occupation. You cannot condemn resistance without condemning the occupation first. — wake up!,user_48c4c4,telegram,2025-12-02T08:10:00Z,3,explicit,0.7484,Hostile,,October 7th,Israel
post-0016,Traffic in the city this morning was a nightmare. Took two hours for what's normally 30 minutes. 🤔,user_bbda1b,telegram,2025-03-21T13:48:00Z,0,clean,0.1802,Negative,,,
post-0017,Strange coincidence how the Ukraine war benefited the same oligarchs who were already connected to Washington.,user_579410,telegram,2025-06-20T23:33:00Z,1,subtle,0.2501,Neutral,,globalists,Ukraine
post-0018,The last surviving Nuremberg prosecutor has died at 103. A life devoted to justice. Rest in peace. 👀,user_ae5bd0,telegram,2025-07-28T06:40:00Z,0,clean,0.103,Neutral,,Holocaust,United States
post-0019,Israel's drip-irrigation technology is helping farmers across Africa and Asia grow food with minimal water. Remarkable innovation.,user_7f4c03,telegram,2025-07-10T05:47:00Z,0,clean,0.0961,Supportive,,,Israel
post-0020,Criticism of Israel isn't antisemitism. And sometimes what looks like antisemitism is just people connecting the dots. 🔥,user_170ae9,telegram,2025-05-06T06:14:00Z,1,subtle,0.321,Neutral,Accusing Jews as a people of being responsible for real or imagined wrongdoing,,
post-0021,"Notice how every time a politician criticizes Israel, they suddenly face a scandal or career problems?!!",user_d18dfd,telegram,2025-09-26T18:44:00Z,1,subtle,0.3039,Hostile,,dual loyalty,
post-0022,"9/11 benefited a very specific set of people. Those people had advance knowledge. This is documented, not conspiracy.!!",user_2ba2fd,telegram,2025-05-02T11:03:00Z,2,coded,0.5335,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,Jewish conspiracy,United States
post-0023,Western Jews lobbying for more weapons to Israel while condemning civilian deaths — hypocrisy on a historic scale. — share this!,user_495f22,telegram,2025-01-26T13:59:00Z,2,coded,0.659,Negative,Holding Jews collectively responsible for actions of the State of Israel,Zionist,
post-0024,Hollywood has made the Holocaust its permanent focus. Almost as if some people profit from keeping the guilt alive. 👀,user_ff2aad,telegram,2025-06-07T06:45:00Z,2,coded,0.633,Hostile,"Accusing the Jews as a people, or Israel as a state, of inventing or exaggerating the Holocaust",Holocaust,United States
post-0025,Jewish people have a genetic disposition toward deception and manipulation. History proves this across civilizations.,user_ad7215,telegram,2025-07-09T09:44:00Z,3,explicit,0.7792,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",Jewish conspiracy,
post-0026,Film recommendation: incredible documentary about ocean conservation. Everyone should watch. — wake up!,user_27b358,telegram,2025-12-22T16:01:00Z,0,clean,0.1418,Supportive,,,
post-0027,More civilians died in the Allied bombing of Dresden than in some camps. Why is one tragedy commemorated and the other ignored? 📢,user_1a667c,telegram,2025-06-27T02:32:00Z,2,coded,0.6285,Negative,"Denying the fact, scope, mechanisms, or intentionality of the Holocaust",Holocaust,Germany
post-0028,Every Israeli settler killed on October 7th was a colonizer. Not a civilian. Not a victim.!!,user_d728ba,telegram,2025-10-21T07:40:00Z,4,hostile,0.8864,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews; Holding Jews collectively responsible for actions of the State of Israel",October 7th; Zionist,Israel
post-0029,Local election results are in. Turnout was low as expected. We need to do better. 🤔,user_f6837d,telegram,2025-10-26T12:14:00Z,0,clean,0.0709,Neutral,,,
post-0030,Why do we allow foreign lobbies to dictate our domestic policy? AIPAC spends more than any other foreign lobby. — share this!,user_196155,telegram,2025-04-01T20:20:00Z,1,subtle,0.3254,Negative,Accusing Jewish citizens of dual loyalty,dual loyalty,United States
post-0031,The think tanks shaping foreign policy — look at who funds them. You'll see a pattern. — wake up!,user_567c25,telegram,2025-08-12T04:50:00Z,1,subtle,0.33,Hostile,,Jewish conspiracy; bank control,
post-0032,"Hanukkah starts tonight! Eight nights of light, family, and latkes. 🕯️🕯️ 📢",user_256c0b,telegram,2025-01-04T13:55:00Z,0,clean,0.0878,Supportive,,,
post-0033,I'm not antisemitic but why do Jewish people make up such a small percentage of the population yet dominate so many industries? 🔥,user_dfeab8,telegram,2025-10-31T07:58:00Z,1,subtle,0.2334,Negative,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",Jewish conspiracy,
post-0034,The Dead Sea is truly unlike anything else on earth. Floating effortlessly while reading a newspaper 📰,user_e263f8,telegram,2025-03-21T21:41:00Z,0,clean,0.1562,Supportive,,,Israel
post-0035,"I have nothing against Jewish people, but you have to admit there's a reason they've been expelled from countries throughout history. 📢",user_c57a15,telegram,2025-06-23T00:53:00Z,1,subtle,0.2858,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",,
post-0036,"COVID vaccines were designed by people connected to the Davos crowd — same names, same agenda, same profits. — wake up!",user_f7a810,telegram,2025-05-19T13:01:00Z,2,coded,0.5411,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,globalists,
post-0037,October 7th was the most beautiful day in the history of Palestinian resistance. Heroes walked into enemy territory. 👀,user_54abcc,telegram,2025-11-17T11:47:00Z,4,hostile,0.8826,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",October 7th,Israel
post-0038,"Klaus Schwab, Bill Gates, George Soros — the 'Great Reset' crowd. Look at who funds them. Same people every time. — share this!",user_29205d,telegram,2025-01-20T10:03:00Z,2,coded,0.5134,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,Jewish conspiracy; globalists,
post-0039,Why is questioning Holocaust figures illegal in so many countries? Real historical events don't need legal protection. ‼️,user_65d0e6,telegram,2025-11-10T15:40:00Z,2,coded,0.5945,Hostile,"Denying the fact, scope, mechanisms, or intentionality of the Holocaust; Accusing the Jews as a people, or Israel as a state, of inventing or exaggerating the Holocaust",Holocaust,
post-0040,Displaying the Star of David alongside the Nazi swastika is the most accurate map of Israeli foreign policy. 🤔,user_627cb8,telegram,2025-08-19T13:36:00Z,3,explicit,0.7561,Hostile,Using symbols and images associated with classic antisemitism to characterize Israel or Israelis,Zionist,Israel
post-0041,PROOF: The October 7th attack was a false flag staged by Mossad to justify the invasion of Gaza. — wake up!,user_aaa0fc,telegram,2025-05-14T01:30:00Z,4,hostile,0.9401,Hostile,"Accusing Jews as a people of being responsible for real or imagined wrongdoing; Accusing the Jews as a people, or Israel as a state, of inventing or exaggerating the Holocaust",October 7th; Jewish conspiracy,Israel
